timestamp,header_stamp,rudder,propeller,covariance
1738937812601264012,1738937812.6002934,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937813108263320,1738937813.1072931,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937813614443828,1738937813.6135144,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937814120725368,1738937814.1197119,-20.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937814455714966,1738937814.4545062,-17.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937814648472288,1738937814.647315,-15.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937814844935147,1738937814.8439207,-12.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937815041880801,1738937815.0408542,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937815244992967,1738937815.2436936,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937815464982919,1738937815.4638395,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937815971485451,1738937815.970486,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937816005701782,1738937816.0044708,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937816217847604,1738937816.2165902,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937816725655102,1738937816.7243998,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937817073848225,1738937817.0727391,2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937817398737580,1738937817.3976104,5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937817703402320,1738937817.7017798,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937818210768039,1738937818.209214,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937818717334753,1738937818.7163491,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937819223866339,1738937819.2226074,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937819731426902,1738937819.7303345,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937820238414155,1738937820.2371168,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937820335995592,1738937820.3350263,10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937820841613973,1738937820.84068,10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937821347994306,1738937821.3468628,10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937821855129553,1738937821.8539088,10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937822080686374,1738937822.0788002,7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937822327899678,1738937822.326559,5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937822662450497,1738937822.6614578,2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937822953407028,1738937822.9522705,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937823460404947,1738937823.4591143,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937823967716724,1738937823.9666827,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937824474151499,1738937824.4732141,0.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937824699900831,1738937824.6986475,-2.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937825011007294,1738937825.00955,-5.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937825116543023,1738937825.1151652,-7.5,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937825300415091,1738937825.298888,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
1738937825806976768,1738937825.805701,-10.0,350.0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
